route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4-10647,2023-COMBNXT-Weekday-11,68041418-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041419-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041420-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041421-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041422-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041423-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041424-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041425-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041426-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041427-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041428-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041429-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041430-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041431-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041432-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041433-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041434-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041435-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041436-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041437-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041438-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041439-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041440-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041441-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041442-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041443-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041444-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041445-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041446-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041447-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041448-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041449-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041450-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041451-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041452-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041453-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041454-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,2,0
4-10647,2023-COMBNXT-Weekday-11,68041455-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041456-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041457-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041458-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041459-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041460-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041461-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041462-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041463-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041464-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041465-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041466-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041467-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041468-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041469-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,0
4-10647,2023-COMBNXT-Weekday-11,68041470-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
2-10647,2023-COMBNXT-Weekday-11,68041471-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041472-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041473-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041474-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
