SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80104104420,5,10,0,6,0,36,9,0,10,3,8,0,33,3,0,0,0,0,0,6,0,0,3,0,0,0,5,0,0,0,0,3,0,6,70,12,97,31,57,8,274
80104104421,0,7,4,0,0,16,11,0,9,0,0,0,20,0,0,0,0,0,0,3,0,0,6,0,3,0,8,0,0,0,0,0,0,3,41,9,67,24,31,3,165
80104104422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104423,0,12,0,0,0,16,0,0,12,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,9,30,4,58,18,30,7,154
80104104424,0,8,3,0,0,14,8,0,8,5,0,0,20,0,0,0,0,0,0,0,0,0,7,0,3,0,10,0,0,0,0,0,0,7,67,12,61,19,33,5,205
80104104425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
80104104426,0,9,3,3,0,21,3,3,6,0,0,0,17,0,0,0,0,0,0,0,4,0,4,0,3,0,6,6,0,3,0,0,0,10,79,9,105,29,28,0,249
80104104502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104601,4,8,0,0,0,19,0,0,5,3,5,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,20,7,39,19,23,0,111
80104104602,5,8,0,0,0,14,8,3,7,6,0,5,27,0,0,0,3,0,0,6,0,0,4,0,3,0,8,8,0,0,0,3,0,14,52,18,70,30,46,10,218
80104104603,0,5,0,3,0,8,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,40,12,21,0,103
80104104604,0,5,0,3,0,11,4,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,43,20,15,4,105
80104104605,4,3,0,0,0,19,0,3,6,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,16,8,42,16,41,3,122
80104104606,0,7,0,3,0,15,4,4,7,3,5,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,26,5,45,20,38,3,138
80104104607,3,4,0,0,0,13,0,0,0,0,4,0,7,0,0,0,0,0,0,6,0,0,4,0,0,0,7,0,0,0,0,0,0,0,11,9,35,17,25,0,100
80104104609,0,13,0,0,0,18,0,0,4,0,3,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,39,22,19,4,90
80104104612,0,11,0,0,0,14,0,0,9,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,40,9,23,0,82
