SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80108109601,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,4,9,25,21,11,45,47,8,17,0,191
80108109602,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,32,20,16,31,41,7,15,0,175
80108109603,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,13,29,29,22,84,57,13,29,0,275
80108109604,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,23,11,13,27,40,13,18,0,143
80108109605,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,19,15,20,37,32,3,18,0,165
80108109701,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,25,14,17,41,55,17,32,0,211
80108109702,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,17,30,25,11,43,60,16,30,0,229
80108109703,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,33,24,23,47,51,15,25,0,229
80108109705,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,13,14,14,5,30,21,0,5,0,98
80108109706,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,20,19,14,48,33,17,15,0,167
80108109707,0,4,0,0,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,3,12,30,15,20,60,61,20,23,0,244
