SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101101516,0,0,0,6,0,0,0,0,0,14,0,5,9,0,0,0,0,0,0,22,20,28,170,138,56,22,4,0,0,435
80101101517,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,10,36,91,67,68,37,4,0,0,311
80101101601,0,0,0,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,8,15,28,42,64,39,25,6,0,0,230
80101101602,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,25,38,18,21,4,0,0,108
80101101603,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,0,13,6,15,84,71,33,34,8,0,0,247
80101101604,0,4,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,6,11,17,50,59,40,26,15,0,0,205
80101101605,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,18,48,46,43,36,9,0,0,214
80101101606,0,0,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,8,22,22,48,90,54,42,14,0,0,288
80101101607,0,3,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,11,21,42,42,17,8,0,0,151
80101101608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101609,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,9,20,47,54,50,37,3,0,0,229
80101101610,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,11,21,30,31,19,10,0,0,122
80101101611,3,0,0,5,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,13,37,46,46,20,10,0,0,177
80101101612,0,4,0,4,5,0,0,0,0,9,0,0,4,4,0,0,0,0,0,3,13,13,40,76,44,28,11,0,0,236
80101101613,0,3,3,4,0,0,0,0,0,8,0,0,6,3,0,0,0,0,0,9,8,38,101,65,38,16,0,0,0,268
80101101614,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,3,0,0,0,5,7,8,28,46,49,34,14,0,0,185
80101101615,0,0,0,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,10,23,45,55,43,21,8,0,0,208
80101101616,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,14,32,62,50,61,27,13,3,0,259
80101101617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,45,54,37,32,9,0,0,211
