SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80107107608,56,33,12,5,251
80107107609,50,24,10,0,156
80107107701,64,38,12,0,289
80107107702,29,20,6,0,179
80107107703,32,20,5,0,174
80107107704,22,14,5,0,150
80107107705,42,14,3,0,208
80107107706,31,17,6,0,134
80107107707,39,23,5,0,166
80107107708,0,0,0,0,0
80107107801,24,15,4,4,226
80107107802,22,4,8,3,125
80107107803,18,18,3,0,194
80107107804,25,4,3,0,157
80107107805,38,16,4,0,194
80107107806,37,14,4,0,190
80107107807,42,11,3,0,109
80107107808,45,11,11,0,208
80107107809,40,15,3,0,152
80107107810,33,48,64,59,363
80107107811,35,21,14,0,264
80107107812,28,11,6,0,157
80107107813,40,10,8,0,171
80107107814,69,24,5,4,251
80107107815,26,14,10,3,174
80107107816,34,13,0,0,154
80107107817,34,11,3,0,143
80107107818,42,20,3,0,211
80107107819,22,4,0,0,113
80107107820,36,22,7,3,205
80107107821,49,30,4,0,223
80107107901,27,22,4,0,150
80107107902,37,29,5,0,211
80107107903,38,38,3,0,249
80107107904,41,38,9,0,200
80107107905,19,44,28,0,212
80107107906,40,23,4,0,206
80107107907,32,14,9,6,159
80107107908,27,32,7,0,162
80107107909,15,15,4,4,120
80107108002,36,42,29,13,247
80107108003,79,82,46,6,534
80107108006,7,0,3,0,155
80107108007,30,39,64,38,353
80107108008,12,3,0,0,95
80107108009,0,0,0,0,0
80107108010,0,0,0,0,0
80107108011,39,37,19,6,356
80107108012,0,0,0,0,0
80107108013,18,10,3,0,353
80107108014,6,4,0,0,34
80107108015,21,13,4,0,272
80107108016,25,15,15,0,246
80107108101,37,11,7,0,180
80107108102,27,17,5,4,174
