SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
80104103506,37,78,25,26,28,16,8,22,3,252
80104103507,30,47,21,20,41,18,8,14,11,210
80104103508,25,56,10,20,15,14,0,14,3,161
80104103509,40,55,25,29,38,14,4,22,10,237
80104103510,49,78,39,49,47,22,10,9,6,308
80104103511,22,56,22,33,25,15,0,16,7,201
80104103512,35,75,26,44,64,25,7,15,6,311
80104103513,28,65,26,25,33,25,6,9,4,222
80104103514,31,56,21,17,32,17,5,5,7,190
80104103515,23,69,19,24,29,7,4,11,4,188
80104103516,25,83,30,27,42,23,15,23,13,276
80104103517,15,59,17,23,23,6,7,7,5,161
80104103518,38,71,13,20,41,15,10,17,11,232
80104103519,32,57,25,22,25,19,3,10,3,190
80104103520,29,41,19,37,32,20,6,11,8,201
80104103521,0,0,0,0,0,0,0,0,0,0
80104103522,34,75,25,19,22,17,3,9,4,211
80104103601,53,81,35,25,48,19,11,17,5,290
80104103604,59,85,31,33,54,14,7,10,15,311
80104103605,27,40,15,16,36,5,0,8,0,152
80104103606,43,59,26,26,28,10,3,17,4,211
80104103607,31,59,24,23,23,10,0,9,3,189
80104103608,65,89,34,50,46,15,8,10,8,321
80104103609,45,98,38,48,54,34,22,35,10,377
80104103610,26,41,23,27,38,17,9,14,3,195
80104103611,34,46,24,13,23,15,6,0,0,164
80104103612,17,36,13,23,27,7,7,10,0,130
80104103613,36,50,34,37,52,20,7,0,3,246
80104103614,48,47,17,18,29,8,0,6,6,181
80104103615,79,124,33,25,62,21,3,11,3,368
80104103616,63,98,29,35,57,20,3,19,16,328
80104103617,37,70,30,23,43,19,3,8,12,238
80104103618,8,11,8,3,15,4,0,0,4,67
80104103702,48,62,11,33,37,19,3,12,8,224
80104103703,54,91,31,43,34,16,7,5,3,285
80104103704,67,93,27,27,35,13,0,6,7,267
80104103705,14,34,8,10,10,6,0,9,0,93
80104103706,36,64,18,14,23,5,0,4,0,170
80104103707,29,56,23,34,26,5,6,15,3,192
80104103708,74,81,25,39,42,16,5,7,4,299
80104103709,0,0,0,0,0,0,0,0,0,0
80104103710,49,104,25,29,40,10,0,11,3,268
80104103711,67,142,33,34,63,17,3,19,8,394
80104103712,20,26,9,6,5,3,3,3,0,73
80104103713,39,44,11,23,46,11,7,0,6,175
80104103714,58,87,25,14,50,13,0,5,0,256
80104103804,70,89,30,19,33,15,0,6,5,268
80104103805,61,67,14,23,30,14,0,8,0,213
80104103806,48,53,8,17,30,11,3,8,4,173
80104103807,36,63,10,17,25,7,6,11,4,183
80104103808,46,64,20,26,43,17,3,3,3,222
80104103809,38,65,10,15,31,14,4,9,4,181
80104103810,35,76,11,16,15,11,6,3,5,185
80104103811,35,57,8,10,23,10,0,9,4,155
80104103812,65,99,26,27,41,24,0,17,4,300
80104103813,39,63,10,23,36,12,8,6,3,203
80104103814,35,57,15,24,30,14,0,6,10,190
80104103815,56,79,15,20,37,16,5,3,5,237
80104103907,31,36,15,20,15,6,5,8,3,143
80104103908,24,47,14,16,19,7,11,10,8,153
80104103910,55,111,55,56,72,29,17,30,12,436
80104103911,11,36,10,24,15,20,3,14,6,135
